Car ID,Car Name,Brand,Model Year,Fuel Type,Transmission,Color
90,Navigator L,Lincoln,2023,Diesel,Automatic,White
91,Blazer EV,Chevrolet,2024,Electric,Automatic,Blue
92,Edge ST,Ford,2022,Petrol,Automatic,Red
93,Expedition MAX,Ford,2023,Petrol,Automatic,Black
94,Envision,Buick,2023,Petrol,Automatic,Gray
95,Encore GX,Buick,2023,Petrol,Automatic,White
96,CT6,Cadillac,2021,Petrol,Automatic,Silver
97,Hummer EV SUV,GMC,2024,Electric,Automatic,Gray
98,RAM TRX,RAM,2023,Petrol,Automatic,Orange
99,Hornet,Dodge,2023,Hybrid,Automatic,Blue
100,Corvette Z06,Chevrolet,2024,Petrol,Automatic,Red
